"","call","Model","df","AIC","BIC","logLik","Test","L.Ratio","p-value","dataset","sig"
"patch.range.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = patch.range ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,8,3008.96379865265,3044.13923589437,-1496.48189932632,"",NA,NA,"flir_patchRange",NA
"patch.range.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = patch.range ~ forest_type, data = dat, random = ~1 |     transect/plot, correlation = correlation, weights = weights,     method = method)",2,7,3010.51559470605,3041.29410229257,-1498.25779735303,"1 vs 2",3.551796053408,0.0594810343474502,"flir_patchRange","NS"
"patch.range.results.forest_type.aov_results.full_mod","lme.formula(fixed = patch.range ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,8,3008.96379865265,3044.13923589437,-1496.48189932632,"",NA,NA,"flir_patchRange",NA
"patch.range.results.forest_type.aov_results.red_mod","lme.formula(fixed = patch.range ~ tree_stand_BA, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,7,3007.24015678385,3038.01866437036,-1496.62007839192,"1 vs 2",0.27635813120105,0.599098222837672,"flir_patchRange","NS"
"cold.patch.area.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = cold.patch.area ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,8,4112.03012533,4147.20556257173,-2048.015062665,"",NA,NA,"flir_patchArea",NA
"cold.patch.area.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = cold.patch.area ~ forest_type, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,7,4111.35363011708,4142.13213770359,-2048.67681505854,"1 vs 2",1.32350478708031,0.249964018354443,"flir_patchArea","NS"
"cold.patch.area.results.forest_type.aov_results.full_mod","lme.formula(fixed = cold.patch.area ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,8,4112.03012533,4147.20556257173,-2048.015062665,"",NA,NA,"flir_patchArea",NA
"cold.patch.area.results.forest_type.aov_results.red_mod","lme.formula(fixed = cold.patch.area ~ tree_stand_BA, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,7,4110.90218518136,4141.68069276788,-2048.45109259068,"1 vs 2",0.87205985136643,0.350385685260873,"flir_patchArea","NS"
"cold.patch.AI.results.tree_stand_BA.aov_results.glmer(cbind(cold.obs.edges, cold.non.edges) ~ forest_type + (1 | transect/plot), dat = flir, family = binomial)",NA,NA,4,48344.0494317036,48361.6371503245,-24168.0247158518,NA,NA,NA,"flir_patchAI",NA
"cold.patch.AI.results.tree_stand_BA.aov_results.glmer(cbind(cold.obs.edges, cold.non.edges) ~ tree_stand_BA + forest_type + (1 | transect/plot), dat = flir, family = binomial)",NA,NA,5,48345.8661714953,48367.8508197713,-24167.9330857476,NA,1,0.668586311083252,"flir_patchAI","NS"
