"","call","Model","df","AIC","BIC","logLik","Test","L.Ratio","p-value","dataset","sig"
"tree_stand_BA.results.aov_results.full_mod","lme.formula(fixed = tree_stand_BA ~ forest_type, data = data,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,4,544.384559530598,552.761937779486,-268.192279765299,"",NA,NA,"tree_stand_BA",NA
"tree_stand_BA.results.aov_results.red_mod","lme.formula(fixed = tree_stand_BA ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,550.486794959743,556.769828646409,-272.243397479871,"1 vs 2",8.10223542914514,0.00442106999849017,"tree_stand_BA","**"
"sapling_stand_BA.results.aov_results.full_mod","lme.formula(fixed = sapling_stand_BA ~ forest_type, data = data,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,4,374.774293361183,383.151671610072,-183.387146680592,"",NA,NA,"sapling_stand_BA",NA
"sapling_stand_BA.results.aov_results.red_mod","lme.formula(fixed = sapling_stand_BA ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,377.013286290147,383.296319976813,-185.506643145073,"1 vs 2",4.23899292896328,0.0395055941019901,"sapling_stand_BA","*"
"treeBA_cv.results.aov_results.full_mod","lme.formula(fixed = treeBA_cv ~ forest_type, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",1,4,72.8915673232557,81.2689455721441,-32.4457836616279,"",NA,NA,"treeBA_cv",NA
"treeBA_cv.results.aov_results.red_mod","lme.formula(fixed = treeBA_cv ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,83.929539591882,90.2125732785483,-38.964769795941,"1 vs 2",13.0379722686263,0.00030523840407479,"treeBA_cv","***"
"saplingBA_cv.results.aov_results.full_mod","lme.formula(fixed = saplingBA_cv ~ forest_type, data = data,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,4,31.6483566336361,40.0257348825245,-11.8241783168181,"",NA,NA,"saplingBA_cv",NA
"saplingBA_cv.results.aov_results.red_mod","lme.formula(fixed = saplingBA_cv ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,29.7619766993619,36.0450103860282,-11.8809883496809,"1 vs 2",0.113620065725755,0.736059792474937,"saplingBA_cv","NS"
"dipt_prop.results.aov_results.glmer(cbind(dipt_total, non_dipt) ~ 1 + (1 | transect), data = macrohabitat, family = binomial)",NA,NA,2,218.276532139081,222.465221263525,-107.13826606954,NA,NA,NA,"dipt_prop",NA
"dipt_prop.results.aov_results.glmer(cbind(dipt_total, non_dipt) ~ forest_type + (1 | transect), data = macrohabitat, family = binomial)",NA,NA,3,217.856563632487,224.139597319153,-105.928281816243,NA,1,0.119797338836491,"dipt_prop","NS"
"canopy_cover_logit.results.aov_results.full_mod","lme.formula(fixed = canopy_cover_logit ~ forest_type, data = data,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,4,113.938294402474,122.315672651362,-52.969147201237,"",NA,NA,"canopy_cover_logit",NA
"canopy_cover_logit.results.aov_results.red_mod","lme.formula(fixed = canopy_cover_logit ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,112.81253733776,119.095571024427,-53.4062686688802,"1 vs 2",0.874242935286361,0.34978335669461,"canopy_cover_logit","NS"
"ground_veg_logit.results.aov_results.full_mod","lme.formula(fixed = ground_veg_logit ~ forest_type, data = data,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,4,124.597549749624,132.974927998512,-58.2987748748118,"",NA,NA,"ground_veg_logit",NA
"ground_veg_logit.results.aov_results.red_mod","lme.formula(fixed = ground_veg_logit ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,125.355938335687,131.638972022353,-59.6779691678434,"1 vs 2",2.75838858606329,0.0967456408288141,"ground_veg_logit","NS"
"under_veg_logit.results.aov_results.full_mod","lme.formula(fixed = under_veg_logit ~ forest_type, data = data,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,4,119.032366519024,127.409744767912,-55.5161832595119,"",NA,NA,"under_veg_logit",NA
"under_veg_logit.results.aov_results.red_mod","lme.formula(fixed = under_veg_logit ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,122.320260518097,128.603294204763,-58.1601302590483,"1 vs 2",5.28789399907282,0.0214741740133155,"under_veg_logit","*"
"canopy_veg_logit.results.aov_results.full_mod","lme.formula(fixed = canopy_veg_logit ~ forest_type, data = data,     random = ~1 | transect, correlation = correlation, weights = weights,     method = method)",1,4,141.168287969584,149.545666218473,-66.5841439847922,"",NA,NA,"canopy_veg_logit",NA
"canopy_veg_logit.results.aov_results.red_mod","lme.formula(fixed = canopy_veg_logit ~ 1, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",2,3,148.34236961968,154.625403306347,-71.1711848098402,"1 vs 2",9.17408165009599,0.00245466507594727,"canopy_veg_logit","**"
"PC1.results.aov_results.full_mod","lme.formula(fixed = PC1 ~ forest_type, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",1,4,211.596835140139,219.974213389028,-101.79841757007,"",NA,NA,"PC1",NA
"PC1.results.aov_results.red_mod","lme.formula(fixed = PC1 ~ 1, data = data, random = ~1 | transect,     correlation = correlation, weights = weights, method = method)",2,3,217.673437608322,223.956471294989,-105.836718804161,"1 vs 2",8.07660246818307,0.00448404367021849,"PC1","**"
"PC2.results.aov_results.full_mod","lme.formula(fixed = PC2 ~ forest_type, data = data, random = ~1 |     transect, correlation = correlation, weights = weights, method = method)",1,4,204.882992376899,213.260370625787,-98.4414961884495,"",NA,NA,"PC2",NA
"PC2.results.aov_results.red_mod","lme.formula(fixed = PC2 ~ 1, data = data, random = ~1 | transect,     correlation = correlation, weights = weights, method = method)",2,3,206.984576754226,213.267610440892,-100.492288377113,"1 vs 2",4.10158437732684,0.042843047478441,"PC2","*"
