"","call","Model","df","AIC","BIC","logLik","Test","L.Ratio","p-value","dataset","sig"
"flir.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = percentile_5 ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,10,1664.34514336955,1708.31443992171,-822.172571684774,"",NA,NA,"flir",NA
"flir.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = percentile_5 ~ forest_type + ambient_log,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",2,9,1663.01281758003,1702.58518447697,-822.506408790013,"1 vs 2",0.667674210477344,0.41386366012919,"flir","NS"
"flir.results.forest_type.aov_results.full_mod","lme.formula(fixed = percentile_5 ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,10,1664.34514336955,1708.31443992171,-822.172571684774,"",NA,NA,"flir",NA
"flir.results.forest_type.aov_results.red_mod","lme.formula(fixed = percentile_5 ~ tree_stand_BA + ambient_log,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",2,9,1662.79237741216,1702.3647443091,-822.396188706078,"1 vs 2",0.447234042608216,0.503651398496238,"flir","NS"
"deadwood_rep.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,9,1733.41492970045,1782.25387135203,-857.707464850226,"",NA,NA,"deadwood_rep",NA
"deadwood_rep.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = rep_temp ~ forest_type + ambient_log, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,8,1731.5197961142,1774.93218869338,-857.759898057101,"1 vs 2",0.104866413750642,0.746066105335599,"deadwood_rep","NS"
"deadwood_rep.results.forest_type.aov_results.full_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,9,1733.41492970045,1782.25387135203,-857.707464850226,"",NA,NA,"deadwood_rep",NA
"deadwood_rep.results.forest_type.aov_results.red_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + ambient_log, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,8,1731.62091785435,1775.03331043353,-857.810458927176,"1 vs 2",0.205988153900762,0.649930186517401,"deadwood_rep","NS"
"hole_rep.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,9,1215.26528029823,1263.93659920126,-598.632640149114,"",NA,NA,"hole_rep",NA
"hole_rep.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = rep_temp ~ forest_type + ambient_log, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,8,1217.92579390777,1261.18918848825,-600.962896953887,"1 vs 2",4.66051360954589,0.0308639577738021,"hole_rep","*"
"hole_rep.results.forest_type.aov_results.full_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,9,1215.26528029823,1263.93659920126,-598.632640149114,"",NA,NA,"hole_rep",NA
"hole_rep.results.forest_type.aov_results.red_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + ambient_log, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,8,1216.0240754277,1259.28747000818,-600.012037713851,"1 vs 2",2.75879512947358,0.0967210568225727,"hole_rep","NS"
"litter_rep.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,9,2292.18355749545,2341.18179534092,-1137.09177874772,"",NA,NA,"litter_rep",NA
"litter_rep.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = rep_temp ~ forest_type + ambient_log, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,8,2290.2445098064,2333.79849900237,-1137.1222549032,"1 vs 2",0.0609523109487782,0.80499705648314,"litter_rep","NS"
"litter_rep.results.forest_type.aov_results.full_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + forest_type +     ambient_log, data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,9,2292.18355749545,2341.18179534092,-1137.09177874772,"",NA,NA,"litter_rep",NA
"litter_rep.results.forest_type.aov_results.red_mod","lme.formula(fixed = rep_temp ~ tree_stand_BA + ambient_log, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,8,2291.79961957234,2335.35360876832,-1137.89980978617,"1 vs 2",1.6160620768951,0.203641750149503,"litter_rep","NS"
