"","call","Model","df","AIC","BIC","logLik","Test","L.Ratio","p-value","dataset","sig"
"flir.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = ambient_log ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,-1606.2435219629,-1575.46501437638,810.121760981448,"",NA,NA,"flir",NA
"flir.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = ambient_log ~ forest_type, data = dat, random = ~1 |     transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,-1608.22192774255,-1581.84034981126,810.110963871276,"1 vs 2",0.0215942203426494,0.8831717066236,"flir","NS"
"flir.results.forest_type.aov_results.full_mod","lme.formula(fixed = ambient_log ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,-1606.2435219629,-1575.46501437638,810.121760981448,"",NA,NA,"flir",NA
"flir.results.forest_type.aov_results.red_mod","lme.formula(fixed = ambient_log ~ tree_stand_BA, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,-1608.16255802515,-1581.78098009386,810.081279012577,"1 vs 2",0.0809639377412168,0.775995337672601,"flir","NS"
"ambient_rep.results.tree_stand_BA.aov_results.full_mod","lme.formula(fixed = ambient_log ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,-5060.55048450635,-5022.19934072738,2537.27524225318,"",NA,NA,"ambient_rep",NA
"ambient_rep.results.tree_stand_BA.aov_results.red_mod","lme.formula(fixed = ambient_log ~ forest_type, data = dat, random = ~1 |     transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,-5062.02330994068,-5029.15090098727,2537.01165497034,"1 vs 2",0.527174565676432,0.467797158892201,"ambient_rep","NS"
"ambient_rep.results.forest_type.aov_results.full_mod","lme.formula(fixed = ambient_log ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,-5060.55048450635,-5022.19934072738,2537.27524225318,"",NA,NA,"ambient_rep",NA
"ambient_rep.results.forest_type.aov_results.red_mod","lme.formula(fixed = ambient_log ~ tree_stand_BA, data = dat,     random = ~1 | transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,-5062.55005028233,-5029.67764132892,2537.27502514117,"1 vs 2",0.000434224022683338,0.983374850651148,"ambient_rep","NS"
"flir.results.tree_stand_BA.aov_results.full_mod1","lme.formula(fixed = VPD_log1p ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,1642.17283680554,1672.95134439206,-814.086418402771,"",NA,NA,"flir",NA
"flir.results.tree_stand_BA.aov_results.red_mod1","lme.formula(fixed = VPD_log1p ~ forest_type, data = dat, random = ~1 |     transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,1640.3925927499,1666.7741706812,-814.196296374952,"1 vs 2",0.219755944360259,0.639225939458001,"flir","NS"
"flir.results.forest_type.aov_results.full_mod1","lme.formula(fixed = VPD_log1p ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,1642.17283680554,1672.95134439206,-814.086418402771,"",NA,NA,"flir",NA
"flir.results.forest_type.aov_results.red_mod1","lme.formula(fixed = VPD_log1p ~ tree_stand_BA, data = dat, random = ~1 |     transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,1641.51730052071,1667.898878452,-814.758650260354,"1 vs 2",1.34446371516515,0.246248314444121,"flir","NS"
"ambient_rep.results.tree_stand_BA.aov_results.full_mod1","lme.formula(fixed = VPD_log1p ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,2704.97859617748,2737.85783591115,-1345.48929808874,"",NA,NA,"ambient_rep",NA
"ambient_rep.results.tree_stand_BA.aov_results.red_mod1","lme.formula(fixed = VPD_log1p ~ forest_type, data = dat, random = ~1 |     transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,2703.03008720976,2731.21229269576,-1345.51504360488,"1 vs 2",0.0514910322826836,0.820488784104541,"ambient_rep","NS"
"ambient_rep.results.forest_type.aov_results.full_mod1","lme.formula(fixed = VPD_log1p ~ tree_stand_BA + forest_type,     data = dat, random = ~1 | transect/plot, correlation = correlation,     weights = weights, method = method)",1,7,2704.97859617748,2737.85783591115,-1345.48929808874,"",NA,NA,"ambient_rep",NA
"ambient_rep.results.forest_type.aov_results.red_mod1","lme.formula(fixed = VPD_log1p ~ tree_stand_BA, data = dat, random = ~1 |     transect/plot, correlation = correlation, weights = weights,     method = method)",2,6,2706.46807866453,2734.65028415053,-1347.23403933226,"1 vs 2",3.48948248704619,0.0617598888725454,"ambient_rep","NS"
